"","Variable","Natl_Average","Natl_Rural_Average","Facility_Buffer_Average_1mi","Facility_Buffer_Average_3mi","Facility_Buffer_Average_5mi","Facility_Buffer_Average_10mi"
"1","% White",68.1746246356981,75.0963544069234,76.4953129937155,72.6354652295874,72.3763294141825,74.2811213043889
"2","% Black or African American (race)",12.5537801550739,9.65842391473862,13.4681037812028,13.3090851758502,12.6461383731985,10.6161367534854
"3","% Other (race)",19.271595209228,15.245221678338,10.0365832250816,14.0554495945623,14.977532212619,15.1027419421257
"4","% Hispanic (ethnic origin)",18.4416954417909,14.5605086632782,8.86634132640522,12.2358742803837,13.9233671808894,13.7753809675574
"5","Median Income (1k 2021$)",81.1086367473963,79.7301559860719,61.9384276122599,64.427153826749,66.6423886904483,72.3494895255333
"6","% Below Poverty Line",6.69173851322701,6.26951457866226,8.10560685321069,8.10770211116634,7.94279364418281,6.83693027887964
"7","% Below Half the Poverty Line",5.64022802957106,5.15416869268928,6.66516869711758,6.62872508852183,6.3693210467902,5.57436588457454
"8","Total Cancer Risk (per million)",25.4223036137167,22.2879294664247,22.9556886563915,24.3531895232193,25.2323796212644,25.8732457774949
"9","Total Respiratory Risk (hazard quotient)",0.310075053619519,0.259553144347737,0.272244833760489,0.298664142580918,0.309566319188532,0.321057236229472
"10","Asthma Prevalence (% Pop.)",10.3764271511744,10.3899926077517,11.0471961520907,11.0764482653662,11.0092316621434,10.8113005409001
