Tract,total_risk
2013000100,7.459459459
2016000100,6.784313725
2016000200,7.793103448
2020000101,19.53125
2020000102,20.16949153
2020000201,20
2020000202,20
2020000204,15.41666667
2020000205,20
2020000206,20
2020000500,40
2020000601,40.28571429
2020000602,43.33333333
2020000701,32.97297297
2020000702,30
2020000703,30
2020000801,40
2020000802,40
2020000901,40.76923077
2020000902,40
2020001000,40
2020001100,40
2020001200,40
2020001300,45.23809524
2020001401,44.6875
2020001402,40
2020001500,59.25373134
2020001601,40
2020001602,60
2020001701,23.05555556
2020001702,30.72727273
2020001731,30
2020001732,23.40425532
2020001801,70
2020001802,70
2020001900,70
2020002000,70
2020002100,70
2020002201,48.78787879
2020002202,70
2020002301,57.46031746
2020002302,72.06896552
2020002304,70
2020002305,70
2020002400,70
2020002501,70
2020002502,70
2020002601,70
2020002602,70
2020002603,70
2020002711,62.63157895
2020002712,68.47222222
2020002713,41.8
2020002714,42.72727273
2020002811,70
2020002812,55.84615385
2020002813,20
2020002821,40.46511628
2020002822,24.28571429
2020002823,22.05479452
2020002900,9.955223881
2020980000,30
2020980100,40.27027027
2020980200,28.95833333
2050000100,8.544303797
2050000200,9.521126761
2050000300,9.887323944
2060000100,9.6
2068000100,9.873873874
2070000100,8.671641791
2070000200,9.878787879
2090000100,56.11111111
2090000200,30
2090000300,53.09090909
2090000400,65.26315789
2090000500,41.92982456
2090000600,22.91666667
2090000700,30
2090000800,30
2090000900,24.02597403
2090001000,42.46575342
2090001200,21.88679245
2090001300,20.63157895
2090001401,29.18367347
2090001402,46.31067961
2090001501,26.93333333
2090001502,23.45454545
2090001600,28.30769231
2090001700,36.94642857
2090001901,18.50877193
2090001902,14.62601626
2090980000,74
2090980100,43.33333333
2100000100,9.085365854
2105000400,9.481012658
2110000100,9.789473684
2110000200,10
2110000300,10
2110000400,9.872340426
2110000500,9.898876404
2110000600,9.98245614
2122000100,9.625
2122000200,13.36283186
2122000300,8.887096774
2122000400,19.93678161
2122000500,20
2122000600,20
2122000701,18.49462366
2122000702,20
2122000800,10
2122000900,10
2122001000,12.17391304
2122001100,10
2122001200,9.720588235
2122001300,9.587878788
2130000101,10
2130000102,9.875
2130000200,10
2130000300,10
2130000400,10
2150000100,8.804878049
2150000200,10
2150000300,10
2150000400,10
2150000500,9.961538462
2158000100,8.192982456
2164000100,9
2170000101,9.701492537
2170000102,11.49618321
2170000200,9.103896104
2170000300,15.18309859
2170000401,13.96551724
2170000402,11.7037037
2170000501,20
2170000502,19.09090909
2170000601,28.18181818
2170000603,20.46511628
2170000604,20.46511628
2170000701,16.42857143
2170000703,17.55102041
2170000705,20
2170000706,19.0625
2170000800,23.33333333
2170000900,29.4
2170001001,20
2170001003,20
2170001004,20.88235294
2170001100,20
2170001201,20
2170001202,20
2170001300,13.75
2180000100,7.595890411
2180000200,7.901960784
2185000100,6.379746835
2185000200,6.639175258
2185000300,15.125
2188000100,8.25
2188000200,8.982142857
2195000200,10.6185567
2198000100,9.882352941
2198000200,9
2198000300,8
2198940100,10
2220000100,8.528301887
2220000200,9.633333333
2230000100,8.027027027
2240000100,9.138554217
2240000400,9.96835443
2275000300,9.857142857
2282000100,9.6875
2290000100,9.853658537
2290000200,9.846666667
2290000300,10.34188034
2290000400,9.929824561
16001000101,30
16001000102,30
16001000201,30
16001000202,30
16001000302,30
16001000303,30
16001000305,30
16001000306,30
16001000401,30
16001000402,30
16001000501,30
16001000502,30
16001000601,30
16001000602,30
16001000701,30
16001000703,30
16001000704,30
16001000803,30
16001000805,30
16001000806,30
16001000807,30
16001000808,30
16001000809,30
16001000810,30
16001000901,30
16001000902,30
16001001001,30
16001001002,30
16001001003,30
16001001100,30
16001001201,30
16001001203,30
16001001204,33.33333333
16001001401,30
16001001402,30
16001001500,30
16001001600,30
16001001701,30
16001001702,30
16001001800,30
16001001900,35.42857143
16001002000,30.69767442
16001002100,38.36363636
16001002223,40
16001002225,40
16001002226,40
16001002227,40
16001002228,40
16001002229,40
16001002230,40
16001002231,40
16001002313,40
16001002314,40
16001002315,40
16001002316,40
16001002317,40
16001002318,39.80769231
16001002319,40
16001002412,38.86792453
16001002414,40
16001002415,40
16001002416,40
16001002417,40
16001002418,38.91304348
16001002419,40
16001010101,27.24637681
16001010102,28.5840708
16001010224,37.33333333
16001010226,31.42857143
16001010227,35.45454545
16001010228,49.21052632
16001010229,31.93181818
16001010230,25.95505618
16001010231,28.94736842
16001010232,40
16001010233,40
16001010234,40
16001010235,40
16001010236,36.96969697
16001010237,40.72727273
16001010336,40.54545455
16001010337,40
16001010338,40
16001010339,40
16001010340,40
16001010341,40
16001010342,40
16001010343,40
16001010344,46.57894737
16001010345,50
16001010346,46.81818182
16001010347,40
16001010348,40
16001010349,50
16001010350,50
16001010351,49.83606557
16001010352,43.37662338
16001010353,40.81632653
16001010354,40
16001010355,46.48648649
16001010356,40
16001010357,40
16001010358,40
16001010359,40
16001010360,40
